"firstname","lastname","pitcher_throws","pitch_type","release_speed","plate_location_height","plate_location_side","release_height","release_side","extension","horizontal_break","induced_vertical_break","vertical_break","horizontal_approach_angle","vertical_approach_angle","horizontal_release_angle","vertical_release_angle","spin_rate","spin_axis","spin_efficiency","tilt","date","time"
"Heath","Andrews","Right","FB",90.19049,1.97251,1.36041,5.09466,1.60215,4.98893,4.26246,10.97112,-23.70198,0.1576799771,-5.633408067,-0.638147405,-1.225930862,2294.401374,201.1860903,0.7634296151,12:45:00,2023-09-07,16:51:48.25
"Heath","Andrews","Right","FB",90.42526,3.0544,-0.77068,4.96073,1.56201,5.12951,2.12315,13.41999,-20.90177,-2.291615434,-4.076156514,-2.688028841,-0.1761490918,2420.161536,188.9618346,0.7858062653,12:15:00,2023-09-07,16:57:36.19
"Heath","Andrews","Right","FB",91.51127,2.43264,-0.12723,4.93956,1.86068,5.02521,-0.43051,9.96082,-23.70254,-2.167664608,-4.981287389,-2.087337559,-0.5684171216,2158.572018,177.5336841,0.6697086192,12:00:00,2023-09-07,16:51:16.75
"Heath","Andrews","Right","FB",88.66641,2.95854,-1.39653,4.99147,1.79515,4.90376,-1.78614,10.88085,-25.11608,-3.575695713,-4.592891333,-3.244348558,0.06401826613,2409.998174,170.7175474,0.6365444347,11:45:00,2023-09-07,16:57:15.15
"Derek","Archer","Right","FB",80.00587,2.74483,0.71598,4.7214,1.64522,5.07207,15.30044,18.82611,-27.36109,0.545015,-4.82265,-2.3370774,0.32170454,1949.3364,219.0162,0.94628423,01:15:00,2024-04-25,20:29:08.51
"Derek","Archer","Right","FB",80.665,2.19053,-1.24489,4.69756,1.42747,5.11244,6.58844,19.72997,-24.7914,-2.190681,-5.0727406,-3.415882,-0.46741676,2007.9882,198.4062,0.9508121,12:30:00,2024-04-25,20:32:51.60
"Derek","Archer","Right","FB",81.31709,2.74872,0.53659,4.70934,1.50063,4.90415,13.58653,20.14422,-24.92191,0.3383782,-4.5545673,-2.2157805,0.12279839,1942.8108,213.92743,0.9400524,01:15:00,2024-04-25,20:29:30.87
"Mason","Arnold","Left","FB",81.47561,1.41749,1.45795,5.43105,-1.05255,4.54951,-10.34639,17.6774,-26.99645,1.6328317,-6.802851,3.5390923,-1.8490566,2079.629,149.71815,0.7021804,11:00:00,2024-05-22,17:00:27.69
"Mason","Arnold","Left","FB",81.95723,1.90259,0.18468,5.47509,-1.02347,4.39205,-13.38537,17.63183,-26.18582,-0.015217149,-6.2240105,2.4328504,-1.4549643,2137.7983,142.84625,0.94607365,10:45:00,2024-05-22,16:59:41.96
"Mason","Arnold","Left","FB",81.30615,1.93388,0.72791,5.51856,-1.00412,4.65106,-15.39035,18.40284,-26.26749,0.32530978,-6.304207,3.1699924,-1.4666188,2075.9553,140.15178,0.8160374,10:45:00,2024-05-22,17:00:52.33
"Mason","Arnold","Left","FB",81.13015,3.35341,-1.41301,5.58478,-1.16853,4.76417,-14.32254,16.24917,-28.68379,-1.6677686,-5.162024,1.0009968,0.16763821,2111.7026,138.67697,0.7265892,10:30:00,2024-05-22,17:00:04.33
"Mason","Arnold","Left","SI",80.70619,1.6012,-0.0501,5.29036,-1.05831,4.36229,-18.24672,8.26968,-37.84078,-0.72547597,-7.5127716,2.645931,-0.56037205,1826.7535,114.4814,0.8278309,09:45:00,2024-05-22,17:02:22.87
"Will","Baker","Left","FB",87.48479,2.52196,-1.15969,3.84076,-2.98064,4.81688,-19.01848,2.92035,-34.17012,0.09780104756,-4.705459803,3.624543915,1.625360017,1978.87618,98.93519062,0.8995436497,09:15:00,2023-09-14,15:56:16.10
"Will","Baker","Left","FB",87.98228,3.0231,-1.36153,3.77037,-2.86988,5.11454,-18.47939,1.07316,-35.15944,-0.1821302139,-4.214873196,3.262943752,2.333824705,2039.257139,93.55223223,0.838895846,09:00:00,2023-09-14,16:01:29.11
"Will","Baker","Left","FB",87.11717,2.95914,-0.29394,3.82287,-2.77876,5.0631,-17.57974,9.44377,-27.86838,0.939287929,-3.647051806,4.220784941,1.556915099,2151.461585,118.4682202,0.8612600435,10:00:00,2023-09-14,16:01:10.51
"Will","Baker","Left","FB",87.88804,2.61511,-0.12136,3.83173,-3.10119,5.04164,-19.23982,4.41614,-32.10379,1.318841144,-4.411802272,4.892575516,1.554904613,1989.575728,103.1809374,0.846141269,09:30:00,2023-09-14,16:00:12.66
"Will","Baker","Left","FB",88.63057,2.49962,-0.40783,3.75234,-3.04488,5.08262,-18.65946,7.56537,-28.41838,0.9996983206,-4.112295949,4.480202975,1.190779922,2163.62075,112.2858082,0.9358621551,09:45:00,2023-09-14,15:58:41.74
"Will","Baker","Left","FB",89.32564,2.95536,0.92812,3.85378,-2.56428,5.28251,-18.08199,9.51723,-25.73089,1.979438678,-3.483694692,5.358250415,1.333104773,2215.629936,118.0272207,0.873842802,10:00:00,2023-09-14,15:58:29.63
"Will","Baker","Left","FB",88.40515,2.67729,-0.4475,3.92014,-2.81377,5.2526,-16.72034,4.91272,-30.74041,0.914104162,-4.319612439,4.03247878,1.413107593,2013.172389,106.5928574,0.8561056894,09:30:00,2023-09-14,15:58:14.86
"Will","Baker","Left","FB",88.07457,2.43527,-1.54646,3.79502,-3.12676,4.96291,-20.02852,0.81669,-35.58453,-0.2579690387,-4.899394023,3.467814221,1.712039086,2078.474969,92.52862412,0.8839590045,09:00:00,2023-09-14,15:57:09.00
"Will","Baker","Left","FB",88.56188,3.08953,0.85505,3.72107,-3.15385,5.05069,-19.0411,9.6672,-26.74853,2.420956361,-3.293918986,5.967343273,1.700043288,2187.119016,117.2460831,0.8526241008,10:00:00,2023-09-14,15:56:55.41
"Will","Baker","Left","FB",87.97377,1.79283,-1.09568,3.89379,-2.882,4.95466,-20.37659,0.70792,-35.80923,-0.07299583095,-5.70783426,3.717406517,0.9414601614,2077.039018,92.14046831,0.9133899772,09:00:00,2023-09-14,15:56:41.85
"Will","Baker","Left","FB",88.34178,2.21825,-0.93844,3.86729,-2.96507,4.98509,-21.17984,0.27927,-35.95646,0.1043773211,-5.248773821,4.04644337,1.436381058,2076.290776,90.94057472,0.9321738149,09:00:00,2023-09-14,15:56:27.85
"Matt","Barragy","Right","SI",86.74264,0.57406,1.43204,3.37657,2.69365,4.70502,21.62742,-2.78986,-42.24015,0.7944850696,-7.06431883,-3.224942849,0.7547763322,2262.314581,277.2335428,0.8883662968,03:15:00,2022-12-28,14:39:23.19
"Matt","Barragy","Right","FB",88.23825,2.81359,2.0434,3.39307,2.79124,4.05344,23.94381,1.52493,-37.7814,1.55781258965783,-4.28114473057647,-2.85381660149762,2.66956139564735,2243.404852,266.277978231605,NA,03:00:00,2022-07-22,10:46:00.00
