"firstname","lastname","Pitch_Type","Velocity","Plate_Location_Height","Plate_Location_Side","Induced_Vertical_Break","Horizontal_Break","Vertical_Approach_Angle","Horizontal_Approach_Angle","Max_Pelvis_Rotational_Velocity","FC_to_Pelvis_Timing","Max_Trunk_Rotational_Velocity","Pelvis_to_Trunk_Timing","Max_Elbow_Extension_Velocity","Trunk_to_Elbow_Timing","Max_Shoulder_Rotational_Velocity","Elbow_to_Shoulder_Timing","Shoulder_to_BR_Timing","Stride_Length_Percent","Stride_Width_IN","Max_COG_Velo","Trunk_Rotation","Pelvis_Rotation","Hip_Shoulder_Separation","HSS_to_FC_Timing","Forward_Trunk_Tilt","Trunk_Lean","Lead_Knee_Flexion_FC","Lead_Knee_Flexion_MER","Lead_Knee_Flexion_BR","Lead_Knee_Extension_Velo_Max","Lead_Knee_Extension_Velo_Max_to_BR_Timing","Shoulder_Rotation_FC","Shoulder_Horz_Abduction_FC","Elbow_Flexion_FC","Shoulder_Rotation_MER","Shoulder_Horz_Abduction_MER","Max_Shoulder_Horz_Abduction_to_FC_Timing","On_Plane_Percentage","Elbow_Flexion_Inside_90_FC_to_BR"
"Hunter","Brickson","FB",96.02935,2.09075,0.80407,14.57191,7.59809,-5.273650636,-0.04540601322,511.50476,22.72737,861.28851,40.90905,2032.55774,72.7272,3051.05664,54.54552,-22.72725,92.4299,2.28483,103.53539,-100.80755,-69.14471,32.59021,-13.63635,-8.02288,2.3711,34.04306,48.92544,44.99704,-243.45331,63.6363,63.88518,-25.91794,117.24748,199.74936,0.38002,36.36372,76.31579,68.42105
"Drew","Gartland","FB",96.29908,3.508,0.46383,15.55887,7.82368,-3.7549828,-0.3757197018,868.45404,49.99995,1101.50732,9.0909,2062.81445,59.09097,3848.3894,22.72725,0,84.714,1.10773,102.08477,-106.20107,-86.99525,18.83212,4.54545,-24.15705,1.52281,61.63755,67.85966,66.30323,-428.23553,100.00002,60.59882,-7.4984,97.74242,159.23076,18.308,-40.90911,100,71.875
"Drew","Gartland","FB",96.03912,3.63066,-0.15248,20.40197,4.94183,-3.068833241,-1.422525905,889.86237,31.81815,1123.36719,4.54545,1933.34387,72.72733,3981.68311,18.1818,0,86.22403,0.27196,102.88792,-98.27382,-80.73563,16.84991,68.18182,-17.34905,4.47832,66.09876,68.82166,67.23103,-469.75107,104.54547,79.84743,-3.6066,104.98542,160.93111,13.40394,-40.90911,100,65.51724
"Drew","Gartland","FB",95.69177,2.51316,1.14544,14.2057,15.09084,-4.938558672,1.051028688,872.21448,40.90911,1188.36182,9.0909,2100.78003,63.6363,4116.28125,18.18192,4.54533,86.96884,-0.29717,108.20404,-106.14817,-81.79311,23.85564,13.63635,-21.46472,3.80522,61.06895,64.64671,60.50814,-426.20291,95.45457,69.13879,-6.64378,101.87422,160.76889,19.0383,-36.36366,100,70.96774
"Drew","Gartland","FB",98.57435,2.74675,0.36967,14.22586,15.06384,-4.257940556,0.09984261006,790.70435,13.63641,1088.47693,13.63635,1987.74695,77.27271,3801.30078,13.63635,9.0909,86.6507,-0.28032,104.61464,-99.94156,-67.18559,32.46072,9.0909,-16.47267,6.19137,61.84248,65.38676,62.49112,-439.87354,77.27277,80.8209,-6.5692,106.56736,161.94592,12.22729,-45.4545,100,65.51724
"Landon","Jung","FB",96.74266,1.94504,0.10424,16.88753,9.46948,-5.011860476,-0.7236814818,471.30136,90.90907,1090.15466,-13.63635,2181.35181,77.27277,4509.47607,18.1818,4.54545,81.29794,13.26253,102.78973,-106.70293,-62.92558,43.60988,-9.0909,-15.03798,4.53622,51.1657,50.58262,42.41658,-353.28,54.5454,12.81287,-29.40521,123.4307,167.55197,1.1432,9.0909,100,72.5
"Landon","Jung","FB",97.91823,1.64532,0.68855,15.53542,11.44443,-5.377450008,0.1317211477,499.65482,-27.27276,1156.64868,81.81816,2208.14209,90.90907,4501.24561,18.18192,4.54545,79.16075,13.5321,95.58701,-103.89809,-55.95964,47.67025,-4.54545,-15.74759,5.41042,51.58653,45.45699,36.22668,-365.11716,31.81815,17.51088,-30.51628,122.26365,166.80246,4.09032,-4.54551,100,73.68421
"Riely","Hunsaker","FB",95.3082,NA,NA,NA,NA,NA,NA,560.10706,0,1092.45068,63.6363,2100.67188,54.5454,3383.93921,27.27282,4.54545,89.72469,-8.22987,108.79318,-103.87765,-47.70121,56.2267,-9.0909,-12.61745,6.40146,62.80709,60.28069,54.2111,-422.76898,22.72725,60.95398,-33.32952,117.22689,185.91089,-18.38461,31.81815,64.70588,67.64706
"Ty","Reaka","FB",95.21282,0.7668,0.22637,14.52945,14.51311,-6.439708402,-0.7259892096,745.60406,36.3636,1016.21576,13.63635,1887.23193,86.36367,3991.88672,18.1818,4.54545,82.69828,11.15249,102.66216,-123.59684,-81.82149,40.91698,0,-12.35392,6.07187,54.65007,51.73386,43.81578,-323.54492,45.45462,83.52256,-4.63545,99.8511,188.47771,3.96613,49.99995,100,69.44444
"Drew","Pestka","FB",95.09542,1.56467,0.42386,12.33698,13.56779,-5.76565999,-0.5450547843,740.38708,45.4545,1081.98511,36.36372,1765.97217,63.6363,3874.75366,18.1818,4.54545,90.40405,1.90329,120.07919,-111.16106,-59.74072,51.75948,-13.63635,-14.02201,11.96441,44.59061,39.3615,33.71591,-221.67018,-49.99995,53.83976,-36.53572,80.81342,177.47812,-6.70783,36.3636,52.63158,0
